,count,count,count,count,count,count,count,count
Kobieta,84.0,,,,,,,
Mężczyzna,30.0,,,,,,,
iOS,,71.0,,,,,,
Android,,42.0,,,,,,
Nie wiem,,1.0,,,,,,
3-4,,,50.0,,,,,
5-6,,,27.0,,,,,
1-2,,,22.0,,,,,
7-8,,,8.0,,,,,
>8,,,4.0,,,,,
<1,,,3.0,,,,,
18-24,,,,69.0,,,,
25-30,,,,20.0,,,,
41-45,,,,6.0,,,,
45-50,,,,6.0,,,,
56-60,,,,4.0,,,,
31-35,,,,4.0,,,,
36-40,,,,3.0,,,,
51-55,,,,1.0,,,,
60-70,,,,1.0,,,,
Tytuł Inżyniera/Licencjat,,,,,51.0,,,
Wykształcenie średnie,,,,,35.0,,,
Tytuł Magistra,,,,,28.0,,,
Związek nieformalny,,,,,,55.0,,
Wolny/a,,,,,,38.0,,
Żonaty/Zamężna,,,,,,20.0,,
Po rozwodzie lub w separacji,,,,,,1.0,,
2001-4000 zł,,,,,,,27.0,
4001-6000 zł,,,,,,,25.0,
6001-8000 zł,,,,,,,21.0,
>10000 zł,,,,,,,18.0,
<2000 zł,,,,,,,15.0,
8001-10000 zł,,,,,,,8.0,
Praca na pełen etat,,,,,,,,45.0
"Praca na pół etatu, Student",,,,,,,,19.0
Student,,,,,,,,16.0
"Praca na pełen etat, Student",,,,,,,,13.0
Własny biznes,,,,,,,,6.0
Praca na pół etatu,,,,,,,,5.0
"Praca na pełen etat, Własny biznes",,,,,,,,3.0
"Bezrobotny, Student",,,,,,,,3.0
Bezrobotny,,,,,,,,2.0
"Student, Własny biznes",,,,,,,,1.0
"Praca na pół etatu, Student, Własny biznes",,,,,,,,1.0
